UpazilaId|UpazilaName|DistrictName|DivisionName|CurrentUnions
---------|-----------|------------|------------|-------------
1|Amtali|Barguna|Barishal|0
2|Bamna|Barguna|Barishal|0
3|Barguna Sadar|Barguna|Barishal|0
4|Betagi|Barguna|Barishal|0
5|Patharghata|Barguna|Barishal|0
6|Taltali|Barguna|Barishal|0
7|Agailjhara|Barishal|Barishal|0
8|Babuganj|Barishal|Barishal|0
9|Bakerganj|Barishal|Barishal|0
10|Banaripara|Barishal|Barishal|0
11|Barishal Sadar|Barishal|Barishal|8
12|Gournadi|Barishal|Barishal|0
13|Hizla|Barishal|Barishal|0
14|Mehendiganj|Barishal|Barishal|0
15|Muladi|Barishal|Barishal|0
16|Wazirpur|Barishal|Barishal|0
17|Bhola Sadar|Bhola|Barishal|0
18|Burhanuddin|Bhola|Barishal|0
19|Char Fasson|Bhola|Barishal|0
20|Daulatkhan|Bhola|Barishal|0
21|Lalmohan|Bhola|Barishal|0
22|Manpura|Bhola|Barishal|0
23|Tazumuddin|Bhola|Barishal|0
24|Jhalokathi Sadar|Jhalokati|Barishal|0
25|Kathalia|Jhalokati|Barishal|0
26|Nalchity|Jhalokati|Barishal|0
27|Rajapur|Jhalokati|Barishal|0
28|Bauphal|Patuakhali|Barishal|0
29|Dashmina|Patuakhali|Barishal|0
30|Dumki|Patuakhali|Barishal|0
31|Galachipa|Patuakhali|Barishal|0
32|Kalapara|Patuakhali|Barishal|0
33|Mirzaganj|Patuakhali|Barishal|0
34|Patuakhali Sadar|Patuakhali|Barishal|0
35|Rangabali|Patuakhali|Barishal|0
36|Bhandaria|Pirojpur|Barishal|0
37|Kawkhali|Pirojpur|Barishal|0
38|Mathbaria|Pirojpur|Barishal|0
39|Nazirpur|Pirojpur|Barishal|0
40|Nesarabad|Pirojpur|Barishal|0
41|Pirojpur Sadar|Pirojpur|Barishal|0
42|Zianagar|Pirojpur|Barishal|0
43|Ali Kadam|Bandarban|Chattogram|0
44|Bandarban Sadar|Bandarban|Chattogram|0
45|Lama|Bandarban|Chattogram|0
46|Naikhongchhari|Bandarban|Chattogram|0
47|Rowangchhari|Bandarban|Chattogram|0
48|Ruma|Bandarban|Chattogram|0
49|Thanchi|Bandarban|Chattogram|6
50|Akhaura|Brahmanbaria|Chattogram|5
51|Ashuganj|Brahmanbaria|Chattogram|7
52|Bancharampur|Brahmanbaria|Chattogram|0
58|Bijoynagar|Brahmanbaria|Chattogram|0
53|Brahmanbaria Sadar|Brahmanbaria|Chattogram|0
54|Kasba|Brahmanbaria|Chattogram|0
55|Nabinagar|Brahmanbaria|Chattogram|0
56|Nasirnagar|Brahmanbaria|Chattogram|0
57|Sarail|Brahmanbaria|Chattogram|0
59|Chandpur Sadar|Chandpur|Chattogram|0
60|Faridganj|Chandpur|Chattogram|0
61|Haimchar|Chandpur|Chattogram|0
62|Haziganj|Chandpur|Chattogram|0
63|Kachua|Chandpur|Chattogram|0
64|Matlab Dakshin|Chandpur|Chattogram|0
65|Matlab Uttar|Chandpur|Chattogram|0
66|Shahrasti|Chandpur|Chattogram|5
67|Anwara|Chattogram|Chattogram|6
68|Banshkhali|Chattogram|Chattogram|0
69|Boalkhali|Chattogram|Chattogram|7
70|Chandanaish|Chattogram|Chattogram|0
71|Chattogram Port|Chattogram|Chattogram|0
72|Double Mooring|Chattogram|Chattogram|0
73|Fatikchhari|Chattogram|Chattogram|0
74|Hathazari|Chattogram|Chattogram|0
75|Kotwali|Chattogram|Chattogram|0
76|Lohagara|Chattogram|Chattogram|0
77|Mirsharai|Chattogram|Chattogram|0
78|Pahartali|Chattogram|Chattogram|0
79|Panchlaish|Chattogram|Chattogram|0
80|Patiya|Chattogram|Chattogram|0
81|Rangunia|Chattogram|Chattogram|0
82|Raozan|Chattogram|Chattogram|0
83|Sandwip|Chattogram|Chattogram|0
84|Satkania|Chattogram|Chattogram|0
85|Sitakunda|Chattogram|Chattogram|0
103|Chakaria|Coxs Bazar|Chattogram|0
104|Cox's Bazar Sadar|Coxs Bazar|Chattogram|0
105|Kutubdia|Coxs Bazar|Chattogram|8
106|Maheshkhali|Coxs Bazar|Chattogram|5
110|Pekua|Coxs Bazar|Chattogram|0
107|Ramu|Coxs Bazar|Chattogram|4
108|Teknaf|Coxs Bazar|Chattogram|0
109|Ukhia|Coxs Bazar|Chattogram|0
86|Barura|Cumilla|Chattogram|0
87|Brahmanpara|Cumilla|Chattogram|0
88|Burichang|Cumilla|Chattogram|0
89|Chandina|Cumilla|Chattogram|9
90|Chauddagram|Cumilla|Chattogram|4
91|Cumilla Sadar|Cumilla|Chattogram|6
92|Cumilla Sadar Dakshin|Cumilla|Chattogram|4
93|Daudkandi|Cumilla|Chattogram|0
94|Debidwar|Cumilla|Chattogram|0
95|Homna|Cumilla|Chattogram|0
97|Laksam|Cumilla|Chattogram|0
96|Lalmai|Cumilla|Chattogram|0
98|Meghna|Cumilla|Chattogram|0
99|Monohargonj|Cumilla|Chattogram|0
100|Muradnagar|Cumilla|Chattogram|0
101|Nangalkot|Cumilla|Chattogram|0
102|Titas|Cumilla|Chattogram|0
111|Chhagalnaiya|Feni|Chattogram|6
112|Daganbhuiyan|Feni|Chattogram|5
113|Feni Sadar|Feni|Chattogram|0
114|Fulgazi|Feni|Chattogram|5
115|Parshuram|Feni|Chattogram|0
116|Sonagazi|Feni|Chattogram|0
117|Dighinala|Khagrachhari|Chattogram|0
118|Khagrachari Sadar|Khagrachhari|Chattogram|0
119|Lakshmichhari|Khagrachhari|Chattogram|0
120|Mahalchhari|Khagrachhari|Chattogram|0
121|Manikchhari|Khagrachhari|Chattogram|0
122|Matiranga|Khagrachhari|Chattogram|0
123|Panchhari|Khagrachhari|Chattogram|0
124|Ramgarh|Khagrachhari|Chattogram|0
125|Kamalnagar|Lakshmipur|Chattogram|0
126|Lakshmipur Sadar|Lakshmipur|Chattogram|0
127|Raipur|Lakshmipur|Chattogram|0
128|Ramganj|Lakshmipur|Chattogram|0
129|Ramgati|Lakshmipur|Chattogram|0
130|Begumganj|Noakhali|Chattogram|0
131|Chatkhil|Noakhali|Chattogram|0
132|Companiganj|Noakhali|Chattogram|0
133|Hatiya|Noakhali|Chattogram|0
134|Kabir Hat|Noakhali|Chattogram|7
135|Noakhali Sadar|Noakhali|Chattogram|5
136|Senbagh|Noakhali|Chattogram|0
137|Sonaimuri|Noakhali|Chattogram|0
138|Subarnachar|Noakhali|Chattogram|0
139|Baghaichhari|Rangamati|Chattogram|5
140|Barkal|Rangamati|Chattogram|0
148|Bilaichhari|Rangamati|Chattogram|9
141|Juraichhari|Rangamati|Chattogram|0
142|Kaptai|Rangamati|Chattogram|0
143|Kawkhali|Rangamati|Chattogram|0
144|Langadu|Rangamati|Chattogram|9
145|Naniarchar|Rangamati|Chattogram|0
146|Rajasthali|Rangamati|Chattogram|0
147|Rangamati Sadar|Rangamati|Chattogram|0
149|Dhamrai|Dhaka|Dhaka|0
150|Dohar|Dhaka|Dhaka|0
151|Keraniganj|Dhaka|Dhaka|0
152|Nawabganj|Dhaka|Dhaka|0
153|Savar|Dhaka|Dhaka|0
154|Alfadanga|Faridpur|Dhaka|0
155|Bhanga|Faridpur|Dhaka|0
156|Boalmari|Faridpur|Dhaka|0
157|Charbhadrasan|Faridpur|Dhaka|0
158|Faridpur Sadar|Faridpur|Dhaka|0
159|Madhukhali|Faridpur|Dhaka|0
160|Nagarkanda|Faridpur|Dhaka|0
161|Sadarpur|Faridpur|Dhaka|0
162|Saltha|Faridpur|Dhaka|0
163|Gazipur Sadar|Gazipur|Dhaka|0
164|Kaliakair|Gazipur|Dhaka|0
165|Kaliganj|Gazipur|Dhaka|0
166|Kapasia|Gazipur|Dhaka|0
167|Sreepur|Gazipur|Dhaka|0
168|Gopalganj Sadar|Gopalganj|Dhaka|0
169|Kashiani|Gopalganj|Dhaka|0
170|Kotalipara|Gopalganj|Dhaka|0
171|Muksudpur|Gopalganj|Dhaka|0
172|Tungipara|Gopalganj|Dhaka|0
173|Austagram|Kishoreganj|Dhaka|0
174|Bajitpur|Kishoreganj|Dhaka|0
175|Bhairab|Kishoreganj|Dhaka|0
176|Hossainpur|Kishoreganj|Dhaka|0
177|Itna|Kishoreganj|Dhaka|0
178|Karimganj|Kishoreganj|Dhaka|0
179|Katiadi|Kishoreganj|Dhaka|0
180|Kishoreganj Sadar|Kishoreganj|Dhaka|0
